,stand_alone_voltage_pp
495,(131568.7596502484+0j)
496,(131571.05247953688+0j)
497,(131571.05247953688+0j)
498,(131571.05247953688+0j)
499,(131571.05247953688+0j)
500,(131571.05247953688+0j)
501,(131561.99381331578+0j)
502,(131561.99381331578+0j)
503,(131561.99381331578+0j)
504,(131561.99381331578+0j)
505,(131561.99381331578+0j)
506,(131563.61896565146+0j)
507,(131563.61896565146+0j)
508,(131563.61896565146+0j)
509,(131563.61896565146+0j)
510,(131563.61896565146+0j)
511,(131548.54366877867+0j)
512,(131548.54366877867+0j)
513,(131548.54366877867+0j)
514,(131548.54366877867+0j)
515,(131548.54366877867+0j)
516,(131529.60760411608+0j)
517,(131529.60760411608+0j)
518,(131529.60760411608+0j)
519,(131529.60760411608+0j)
520,(131529.60760411608+0j)
521,(131538.76224489883+0j)
522,(131538.76224489883+0j)
523,(131538.76224489883+0j)
524,(131538.76224489883+0j)
525,(131538.76224489883+0j)
526,(131542.07312254666+0j)
527,(131542.07312254666+0j)
528,(131542.07312254666+0j)
529,(131542.07312254666+0j)
530,(131542.07312254666+0j)
531,(131515.07283889683+0j)
532,(131515.07283889683+0j)
533,(131515.07283889683+0j)
534,(131515.07283889683+0j)
535,(131515.07283889683+0j)
536,(131502.0785005016+0j)
537,(131502.0785005016+0j)
538,(131502.0785005016+0j)
539,(131502.0785005016+0j)
540,(131502.0785005016+0j)
541,(131499.50396221507+0j)
542,(131499.50396221507+0j)
543,(131499.50396221507+0j)
544,(131499.50396221507+0j)
545,(131499.50396221507+0j)
546,(131495.52899651756+0j)
547,(131495.52899651756+0j)
548,(131495.52899651756+0j)
549,(131495.52899651756+0j)
550,(131495.52899651756+0j)
551,(131510.72186635883+0j)
552,(131510.72186635883+0j)
553,(131510.72186635883+0j)
554,(131510.72186635883+0j)
555,(131510.72186635883+0j)
556,(131485.28954317095+0j)
557,(131485.28954317095+0j)
558,(131485.28954317095+0j)
559,(131485.28954317095+0j)
560,(131485.28954317095+0j)
561,(131475.73621965063+0j)
562,(131475.73621965063+0j)
563,(131475.73621965063+0j)
564,(131475.73621965063+0j)
565,(131475.73621965063+0j)
566,(131497.3561309911+0j)
567,(131497.3561309911+0j)
568,(131497.3561309911+0j)
569,(131497.3561309911+0j)
570,(131497.3561309911+0j)
571,(131456.01164290644+0j)
572,(131456.01164290644+0j)
573,(131456.01164290644+0j)
574,(131456.01164290644+0j)
575,(131456.01164290644+0j)
576,(131441.53423794062+0j)
577,(131441.53423794062+0j)
578,(131441.53423794062+0j)
579,(131441.53423794062+0j)
580,(131441.53423794062+0j)
581,(131469.38283710234+0j)
582,(131469.38283710234+0j)
583,(131469.38283710234+0j)
584,(131469.38283710234+0j)
585,(131469.38283710234+0j)
586,(131443.1876786684+0j)
587,(131443.1876786684+0j)
588,(131443.1876786684+0j)
589,(131443.1876786684+0j)
590,(131443.1876786684+0j)
591,(131433.75968067267+0j)
592,(131433.75968067267+0j)
593,(131433.75968067267+0j)
594,(131433.75968067267+0j)
595,(131433.75968067267+0j)
596,(131400.8731077954+0j)
597,(131400.8731077954+0j)
598,(131400.8731077954+0j)
599,(131400.8731077954+0j)
600,(131400.8731077954+0j)
601,(131370.60631187298+0j)
602,(131370.60631187298+0j)
603,(131370.60631187298+0j)
604,(131370.60631187298+0j)
605,(131370.60631187298+0j)
606,(131384.146917213+0j)
607,(131384.146917213+0j)
608,(131384.146917213+0j)
609,(131384.146917213+0j)
610,(131384.146917213+0j)
611,(131367.446735115+0j)
612,(131367.446735115+0j)
613,(131367.446735115+0j)
614,(131367.446735115+0j)
615,(131367.446735115+0j)
616,(131352.88275209768+0j)
617,(131352.88275209768+0j)
618,(131352.88275209768+0j)
619,(131352.88275209768+0j)
620,(131352.88275209768+0j)
621,(131321.23389211885+0j)
622,(131321.23389211885+0j)
623,(131321.23389211885+0j)
624,(131321.23389211885+0j)
625,(131321.23389211885+0j)
626,(131345.02501952765+0j)
627,(131345.02501952765+0j)
628,(131345.02501952765+0j)
629,(131345.02501952765+0j)
630,(131345.02501952765+0j)
631,(131343.3419870341+0j)
632,(131343.3419870341+0j)
633,(131343.3419870341+0j)
634,(131343.3419870341+0j)
635,(131343.3419870341+0j)
636,(131309.86668063074+0j)
637,(131309.86668063074+0j)
638,(131309.86668063074+0j)
639,(131309.86668063074+0j)
640,(131309.86668063074+0j)
641,(131281.6151791185+0j)
642,(131281.6151791185+0j)
643,(131281.6151791185+0j)
644,(131281.6151791185+0j)
645,(131281.6151791185+0j)
646,(131303.51492692044+0j)
647,(131303.51492692044+0j)
648,(131303.51492692044+0j)
649,(131303.51492692044+0j)
650,(131303.51492692044+0j)
651,(131300.54343459604+0j)
652,(131300.54343459604+0j)
653,(131300.54343459604+0j)
654,(131300.54343459604+0j)
655,(131300.54343459604+0j)
656,(131308.41380050272+0j)
657,(131308.41380050272+0j)
658,(131308.41380050272+0j)
659,(131308.41380050272+0j)
660,(131308.41380050272+0j)
661,(131322.51011286333+0j)
662,(131322.51011286333+0j)
663,(131322.51011286333+0j)
664,(131322.51011286333+0j)
665,(131322.51011286333+0j)
666,(131299.77121151303+0j)
667,(131299.77121151303+0j)
668,(131299.77121151303+0j)
669,(131299.77121151303+0j)
670,(131299.77121151303+0j)
671,(131315.69870863276+0j)
672,(131315.69870863276+0j)
673,(131315.69870863276+0j)
674,(131315.69870863276+0j)
675,(131315.69870863276+0j)
676,(131315.23814025128+0j)
677,(131315.23814025128+0j)
678,(131315.23814025128+0j)
679,(131315.23814025128+0j)
680,(131315.23814025128+0j)
681,(131276.93460613387+0j)
682,(131276.93460613387+0j)
683,(131276.93460613387+0j)
684,(131276.93460613387+0j)
685,(131276.93460613387+0j)
686,(131254.94110262874+0j)
687,(131254.94110262874+0j)
688,(131254.94110262874+0j)
689,(131254.94110262874+0j)
690,(131254.94110262874+0j)
691,(131248.33836997015+0j)
692,(131248.33836997015+0j)
693,(131248.33836997015+0j)
694,(131248.33836997015+0j)
695,(131248.33836997015+0j)
696,(131232.19376282475+0j)
697,(131232.19376282475+0j)
698,(131232.19376282475+0j)
699,(131232.19376282475+0j)
700,(131232.19376282475+0j)
701,(131268.6759004048+0j)
702,(131268.6759004048+0j)
703,(131268.6759004048+0j)
704,(131268.6759004048+0j)
705,(131268.6759004048+0j)
706,(131254.04191706472+0j)
707,(131254.04191706472+0j)
708,(131254.04191706472+0j)
709,(131254.04191706472+0j)
710,(131254.04191706472+0j)
711,(131235.4489221055+0j)
712,(131235.4489221055+0j)
713,(131235.4489221055+0j)
714,(131235.4489221055+0j)
715,(131235.4489221055+0j)
716,(131246.8453219367+0j)
717,(131246.8453219367+0j)
718,(131246.8453219367+0j)
719,(131246.8453219367+0j)
720,(131246.8453219367+0j)
721,(131250.99176739485+0j)
722,(131250.99176739485+0j)
723,(131250.99176739485+0j)
724,(131250.99176739485+0j)
725,(131250.99176739485+0j)
726,(131247.95706714445+0j)
727,(131247.95706714445+0j)
728,(131247.95706714445+0j)
729,(131247.95706714445+0j)
730,(131247.95706714445+0j)
731,(131245.83606766994+0j)
732,(131245.83606766994+0j)
733,(131245.83606766994+0j)
734,(131245.83606766994+0j)
735,(131245.83606766994+0j)
736,(131241.71127770745+0j)
737,(131241.71127770745+0j)
738,(131241.71127770745+0j)
739,(131241.71127770745+0j)
740,(131241.71127770745+0j)
741,(131247.12088707837+0j)
742,(131247.12088707837+0j)
743,(131247.12088707837+0j)
744,(131247.12088707837+0j)
745,(131247.12088707837+0j)
746,(131249.45711799953+0j)
747,(131249.45711799953+0j)
748,(131249.45711799953+0j)
749,(131249.45711799953+0j)
750,(131249.45711799953+0j)
751,(131185.4068715077+0j)
752,(131185.4068715077+0j)
753,(131185.4068715077+0j)
754,(131185.4068715077+0j)
755,(131185.4068715077+0j)
756,(131212.47308052238+0j)
757,(131212.47308052238+0j)
758,(131212.47308052238+0j)
759,(131212.47308052238+0j)
760,(131212.47308052238+0j)
761,(131190.76393708243+0j)
762,(131190.76393708243+0j)
763,(131190.76393708243+0j)
764,(131190.76393708243+0j)
765,(131190.76393708243+0j)
766,(131181.48792109353+0j)
767,(131181.48792109353+0j)
768,(131181.48792109353+0j)
769,(131181.48792109353+0j)
770,(131181.48792109353+0j)
771,(131192.63033323802+0j)
772,(131192.63033323802+0j)
773,(131192.63033323802+0j)
774,(131192.63033323802+0j)
775,(131192.63033323802+0j)
776,(131154.74569930823+0j)
777,(131154.74569930823+0j)
778,(131154.74569930823+0j)
779,(131154.74569930823+0j)
780,(131154.74569930823+0j)
781,(131164.11555637865+0j)
782,(131164.11555637865+0j)
